PHYS_ACT_PHRASE,Category,METs,calPerHour_METxWtInKGxTimeInHrs
boatin,39,1.3,104.91
boatin',39,1.3,104.91
boating,39,1.3,104.91
boating all day,39,1.3,104.91
boating day,39,1.3,104.91
boating today,39,1.3,104.91
boating tomorrow,39,1.3,104.91
bobby pins in my hair,34,2.5,201.75
bobsled time,41,7,564.9
bobsledding,41,7,564.9
body building,4,6,484.2
body painting,15,1.8,145.26
bomb ass shower,34,2,161.4
bomb shower,34,2,161.4
book i've ever read,25,1.5,121.05
book i've read in,25,1.5,121.05
book reading,25,1.5,121.05
book shopping,13,2.3,185.61
booty dance,7,7.8,629.46
booty dancing,7,7.8,629.46
bored laying down,21,1.3,104.91
bored laying in bed,21,1.3,104.91
bored watching tv,16,1.3,104.91
bought groceries,12,2.3,185.61
bout ta eat,35,1.5,121.05
bout to eat,35,1.5,121.05
bout to eat a,35,1.5,121.05
bout to eat and,35,1.5,121.05
bout to eat and go,35,1.5,121.05
bout to eat and take a nap,35,1.5,121.05
bout to eat dinner,35,1.5,121.05
bout to eat good,35,1.5,121.05
bout to eat some,35,1.5,121.05
bout to eat sum,35,1.5,121.05
bout to eat then,35,1.5,121.05
bout to eat this,35,1.5,121.05
bout to eat this food,35,1.5,121.05
bout to eat this pizza,35,1.5,121.05
bout to get in the shower,34,2,161.4
bout to get in this shower,34,2,161.4
bout to get my hair,34,1.3,104.91
bout to get my hair did,34,1.3,104.91
bout to get my hair done,34,1.3,104.91
bout to get on the phone,25,1.5,121.05
bout to get ready for church,40,1.8,145.26
bout to go get a haircut,34,1.3,104.91
bout to go get my hair,34,1.3,104.91
bout to go get my hair done,34,1.3,104.91
bout to hit da shower,34,2,161.4
bout to hit this shower,34,2,161.4
bout to hit this shower flow,34,2,161.4
bout to hit this shower then,34,2,161.4
bout to hit this shower up,34,2,161.4
bout to take a shower,34,2,161.4
bout to take my shower,34,2,161.4
bout to watch a,16,1.3,104.91
bout to watch a movie,16,1.3,104.91
bout to watch my,16,1.3,104.91
bout to watch some,16,1.3,104.91
bout to watch some movies,16,1.3,104.91
bout to watch some tv,16,1.3,104.91
bout to watch the,16,1.3,104.91
bout to watch the game,16,1.3,104.91
bout to watch this,16,1.3,104.91
bout to watch this game,16,1.3,104.91
bout to watch this movie,16,1.3,104.91
bout too eat,35,1.5,121.05
bouta clean,9,3.3,266.31
bouta clean my room,9,3.3,266.31
bouta clean up,9,3.3,266.31
bouta cook,10,3.5,282.45
bouta cook breakfast,10,3.5,282.45
bouta do my hair,34,2.5,201.75
bouta eat,35,1.5,121.05
bouta eat dinner,35,1.5,121.05
bouta eat some,35,1.5,121.05
bouta eat some cereal,35,1.5,121.05
bouta find something to eat,35,1.5,121.05
bouta get dress,34,2.5,201.75
bouta get dressed,34,2.5,201.75
bouta get in the shower,34,2,161.4
bouta get in the shower bbl,34,2,161.4
bouta get ina shower,34,2,161.4
bouta get inna shower,34,2,161.4
bouta get my hair done,34,1.3,104.91
bouta get something to eat,35,1.5,121.05
bouta go downstairs,37,3.5,282.45
bouta go eat,35,1.5,121.05
bouta go get my hair done,34,1.3,104.91
bouta go shower,34,2,161.4
bouta go swimming,39,5.3,427.71
bouta go take a shower,34,2,161.4
bouta hit the shower,34,2,161.4
bouta hop in the shower,34,2,161.4
bouta jump in the shower,34,2,161.4
bouta shower,34,2,161.4
bouta start packing,9,2.3,185.61
bouta take a shower,34,2,161.4
bouta take a shower n,34,2,161.4
bouta take shower,34,2,161.4
bouta walk,37,3.5,282.45
bouta walk home,37,3.5,282.45
bouta walk to the store,37,3.5,282.45
bouta wash my hair,34,2,161.4
bouta watch a movie,16,1.3,104.91
bouta watch this game,16,1.3,104.91
boutaa eat ,35,1.5,121.05
boutta brush my teeth,34,2,161.4
boutta clean up,9,3.3,266.31
boutta cook,10,3.5,282.45
boutta do my hair,34,2.5,201.75
boutta eat,35,1.5,121.05
boutta get dress,34,2.5,201.75
boutta get dressed,34,2.5,201.75
boutta get in the shower,34,2,161.4
boutta go eat,35,1.5,121.05
boutta hop in the shower,34,2,161.4
boutta shower,34,2,161.4
boutta take a shower,34,2,161.4
boutta walk,37,3.5,282.45
boutta walk to,37,3.5,282.45
boutta wash my hair,34,2,161.4
boutta watch a movie,16,1.3,104.91
bow hunt,8,3.5,282.45
bow hunting,8,3.5,282.45
bowling,36,3.8,306.66
bowling after,36,3.8,306.66
bowling again,36,3.8,306.66
bowling alley,36,3.8,306.66
bowling alley http,36,3.8,306.66
bowling ally,36,3.8,306.66
bowling and,36,3.8,306.66
bowling anyone,36,3.8,306.66
bowling center,36,3.8,306.66
bowling center http,36,3.8,306.66
bowling center w,36,3.8,306.66
bowling class,36,3.8,306.66
bowling date,36,3.8,306.66
bowling for,36,3.8,306.66
bowling friday,36,3.8,306.66
bowling game,36,3.8,306.66
bowling http,36,3.8,306.66
bowling instead,36,3.8,306.66
bowling lanes,36,3.8,306.66
bowling later,36,3.8,306.66
bowling league,36,3.8,306.66
bowling ln,36,3.8,306.66
bowling match,36,3.8,306.66
bowling night,36,3.8,306.66
bowling or something,36,3.8,306.66
bowling party,36,3.8,306.66
bowling practice,36,3.8,306.66
bowling saturday,36,3.8,306.66
bowling season,36,3.8,306.66
bowling soon,36,3.8,306.66
bowling thing,36,3.8,306.66
bowling time,36,3.8,306.66
bowling today,36,3.8,306.66
bowling tomorrow,36,3.8,306.66
bowling tonight,36,3.8,306.66
bowling tonight w,36,3.8,306.66
bowling tonite,36,3.8,306.66
bowling w,36,3.8,306.66
bowling with,36,3.8,306.66
bowling with family,36,3.8,306.66
bowling with friends,36,3.8,306.66
bowling with my,36,3.8,306.66
bowling with my baby,36,3.8,306.66
bowling with my family,36,3.8,306.66
bowling with my girls,36,3.8,306.66
bowling with the,36,3.8,306.66
bowling with the boys,36,3.8,306.66
bowling with the crew,36,3.8,306.66
bowling with the fam,36,3.8,306.66
bowling with the family,36,3.8,306.66
bowling with the gang,36,3.8,306.66
bowling with the girls,36,3.8,306.66
bowling with the kids,36,3.8,306.66
bowling with the team,36,3.8,306.66
bowling with us,36,3.8,306.66
bowlingg,36,3.8,306.66
bowlinggg,36,3.8,306.66
bowlingggg,36,3.8,306.66
bowlinggggg,36,3.8,306.66
bowlingggggg,36,3.8,306.66
boxing,36,5.5,443.85
boxing again,36,5.5,443.85
boxing and,36,5.5,443.85
boxing class,36,5.5,443.85
boxing classes,36,5.5,443.85
boxing gym,36,5.5,443.85
boxing gym http,36,5.5,443.85
boxing http,36,5.5,443.85
boxing lesson,36,5.5,443.85
boxing lessons,36,5.5,443.85
boxing practice,36,5.5,443.85
boxing studio,36,5.5,443.85
boxing time,36,5.5,443.85
boxing today,36,5.5,443.85
boxing tonight,36,5.5,443.85
boxing workout,36,5.5,443.85
bra shopping,13,2.3,185.61
braid my hair,34,2.5,201.75
braided my hair,34,2.5,201.75
braiding my hair,34,2.5,201.75
brb gonna take a shower,34,2,161.4
brb shower,34,2,161.4
brb shower flow,34,2,161.4
brb shower time,34,2,161.4
break dance,7,4.5,363.15
break dance in,7,4.5,363.15
break dancing,7,4.5,363.15
break eating,35,1.5,121.05
breakdance,7,4.5,363.15
breakdancing,7,4.5,363.15
breakfast and shopping,13,2.3,185.61
breakfast before church,40,1.8,145.26
breakfast cooked,10,3.5,282.45
breast feeding,17,2,161.4
breastfeeding,17,2,161.4
breath from walking up,37,4,322.8
bridesmaid dress shopping,13,2.3,185.61
bridge run,33,11.8,952.26
bring me something to eat,35,1.5,121.05
bring me sum to eat,35,1.5,121.05
bring your dancing shoes,7,7.8,629.46
bringing me something to eat,35,1.5,121.05
brisk walk,37,4.3,347.01
broomball,36,7,564.9
brush and floss,34,2,161.4
brush and floss,34,2,161.4
brush my hair,34,2.5,201.75
brush my hair,34,2.5,201.75
brush my hair for me,34,2.5,201.75
brush my hair today,34,2.5,201.75
brush my hair today,34,2.5,201.75
brush my teeth,34,2,161.4
brush our teeth,34,2,161.4
brush teeth,34,2,161.4
brushed my,34,2,161.4
brushed my hair,34,2.5,201.75
brushed my hair,34,2.5,201.75
brushed my hair today,34,2.5,201.75
brushed my hair today,34,2.5,201.75
brushed my teeth,34,2,161.4
brushed my teeth and,34,2,161.4
brushed my teeth and i,34,2,161.4
brushed teeth,34,2,161.4
brushing my hair,34,2.5,201.75
brushing my teeth,34,2,161.4
brushing teeth,34,2,161.4
buddy walk,37,4.3,347.01
building a fire,9,2.5,201.75
building a fire,9,2.5,201.75
building a house,20,4,322.8
building cars,11,3,242.1
bus sitting next,22,1.3,104.91
bust a dance move,7,7.8,629.46
busy cleaning,9,3.3,266.31
busy eating,35,1.5,121.05
butt hurts from sitting,22,1.3,104.91
butt is numb from sitting,22,1.3,104.91
buy groceries,12,2.3,185.61
buy the groceries,12,2.3,185.61
buying groceries,12,2.3,185.61
caked up on the phone,25,1.5,121.05
cakin on the phone,25,1.5,121.05
caking on the phone,25,1.5,121.05
calisthenics,3,3.5,282.45
came back from a run,33,11.8,952.26
came down stairs,37,3.5,282.45
came downstairs,37,3.5,282.45
came here to eat,35,1.5,121.05
came to church,40,1.8,145.26
came upstairs,37,4,322.8
camp for,30,2.5,201.75
camp next week,30,2.5,201.75
camp soon,30,2.5,201.75
camp today,30,2.5,201.75
camp tomorrow,30,2.5,201.75
camp with,30,2.5,201.75
camped out,30,2.5,201.75
camping again,30,2.5,201.75
camping and,30,2.5,201.75
camping at,30,2.5,201.75
camping day,30,2.5,201.75
camping for,30,2.5,201.75
camping for the,30,2.5,201.75
camping for the night,30,2.5,201.75
camping for the weekend,30,2.5,201.75
camping gear,30,2.5,201.75
camping http,30,2.5,201.75
camping in,30,2.5,201.75
camping in the,30,2.5,201.75
camping is,30,2.5,201.75
camping next week,30,2.5,201.75
camping on,30,2.5,201.75
camping on the beach,30,2.5,201.75
camping out,30,2.5,201.75
camping out for,30,2.5,201.75
camping out for the,30,2.5,201.75
camping outside,30,2.5,201.75
camping resort,30,2.5,201.75
camping soon,30,2.5,201.75
camping stuff,30,2.5,201.75
camping supplies,30,2.5,201.75
camping this summer,30,2.5,201.75
camping this weekend,30,2.5,201.75
camping time,30,2.5,201.75
camping today,30,2.5,201.75
camping tomorrow,30,2.5,201.75
camping tonight,30,2.5,201.75
camping trip,30,2.5,201.75
camping trip ever,30,2.5,201.75
camping trip was,30,2.5,201.75
camping trips,30,2.5,201.75
camping w,30,2.5,201.75
camping weekend,30,2.5,201.75
camping with,30,2.5,201.75
camping with friends,30,2.5,201.75
camping with me,30,2.5,201.75
camping with my family,30,2.5,201.75
camping with the fam,30,2.5,201.75
camping with the family,30,2.5,201.75
camping with us,30,2.5,201.75
campingg,30,2.5,201.75
campus walk,37,3.5,282.45
campus walk http,37,3.5,282.45
can barely type,25,1.5,121.05
can cook breakfast,10,3.5,282.45
can eat again,35,1.5,121.05
can eat and,35,1.5,121.05
can eat it all day,35,1.5,121.05
can never get tired of watching,16,1.3,104.91
can talk on the phone,25,1.5,121.05
can watch a,16,1.3,104.91
can watch a movie,16,1.3,104.91
can watch all the,16,1.3,104.91
can watch it,16,1.3,104.91
can watch it all day,16,1.3,104.91
can watch it on,16,1.3,104.91
can watch it on my phone,16,1.3,104.91
can watch it online,16,1.3,104.91
can watch it over,16,1.3,104.91
can watch it over and over,16,1.3,104.91
can watch it together,16,1.3,104.91
can watch movies,16,1.3,104.91
can watch my,16,1.3,104.91
can watch some football,16,1.3,104.91
can watch that,16,1.3,104.91
can watch that all day,16,1.3,104.91
can watch the,16,1.3,104.91
can watch the game,16,1.3,104.91
can watch them,16,1.3,104.91
can watch this,16,1.3,104.91
can watch this all day,16,1.3,104.91
can watch this movie,16,1.3,104.91
can watch this movie all day,16,1.3,104.91
can watch tv,16,1.3,104.91
can't eat another bite,35,1.5,121.05
can't eat anymore,35,1.5,121.05
can't eat anymore i'm full,35,1.5,121.05
can't read anymore,25,1.5,121.05
can't stop eating,35,1.5,121.05
can't stop eating it,35,1.5,121.05
can't stop eating them,35,1.5,121.05
can't stop eating these,35,1.5,121.05
can't stop eating today,35,1.5,121.05
can't stop watching,16,1.3,104.91
can't stop watching it,16,1.3,104.91
can't stop watching the,16,1.3,104.91
can't stop watching the news,16,1.3,104.91
can't stop watching this,16,1.3,104.91
can't stop watching this show,16,1.3,104.91
can't stop watching this video,16,1.3,104.91
cancer walk,37,4.3,347.01
candle shopping,13,2.3,185.61
cannot stop eating,35,1.5,121.05
cannot stop watching,16,1.3,104.91
canoeing,39,5,403.5
cant eat anymore,35,1.5,121.05
cant even watch the game,16,1.3,104.91
cant even watch this,16,1.3,104.91
cant stop eating,35,1.5,121.05
cant stop watching,16,1.3,104.91
cant stop watching the,16,1.3,104.91
cant type,25,1.5,121.05
cant watch the game,16,1.3,104.91
car clean,9,3.5,282.45
car is clean,9,3.5,282.45
car is packed,9,2.3,185.61
car is washed,9,3.5,282.45
car needs a wash,9,3.5,282.45
car needs washed,9,3.5,282.45
car shopping,13,2.3,185.61
car shopping soon,13,2.3,185.61
car shopping this weekend,13,2.3,185.61
car shopping today,13,2.3,185.61
car shopping tomorrow,13,2.3,185.61
car shopping w,13,2.3,185.61
car shopping with,13,2.3,185.61
car shopping with my,13,2.3,185.61
car wash,9,3.5,282.45
car washed,9,3.5,282.45
carlton dance,7,7.8,629.46
carry groceries,12,2.3,185.61
cars clean,9,3.5,282.45
cars washed,9,3.5,282.45
carwash,9,3.5,282.45
casually sitting,22,1.3,104.91
casually sitting in,22,1.3,104.91
casually walking,37,2,161.4
casually watching,16,1.3,104.91
cat grooming,18,2.3,185.61
cat on a leash,18,3,242.1
cat on my lap,18,1.3,104.91
catch a fish,8,3.5,282.45
catch fish,8,3.5,282.45
catch me eating on steak,35,1.5,121.05
catch some fish,8,3.5,282.45
catching up on some reading,25,1.5,121.05
caught a fish,8,3.5,282.45
caught my first fish,8,3.5,282.45
caught myself watching,16,1.3,104.91
cause all i do is eat,35,1.5,121.05
cause i wanted to eat,35,1.5,121.05
celebration dance,7,7.8,629.46
chair dance,7,7.8,629.46
chance to read it,25,1.5,121.05
cheap shopping,13,2.3,185.61
cheer dance,7,7.8,629.46
cheerleading practice,36,6,484.2
cheerleading practice today,36,6,484.2
cheerleading today,36,6,484.2
cheerleading tomorrow,36,6,484.2
cheerleading tryouts,36,6,484.2
cherry picking,19,3.5,282.45
chick sitting next,22,1.3,104.91
chicken dance,7,7.8,629.46
chili cook-off,10,3.5,282.45
chill and eat,35,1.5,121.05
chill and watch a movie,16,1.3,104.91
chill and watch movies,16,1.3,104.91
chill and watch tv,16,1.3,104.91
chillen watching,16,1.3,104.91
chillen watching tv,16,1.3,104.91
chillin at church,40,1.8,145.26
chillin at church,40,1.8,145.26
chillin at the dog park,18,3,242.1
chillin watchin martin,16,1.3,104.91
chillin watchin movies,16,1.3,104.91
chillin watchin the game,16,1.3,104.91
chillin watchin tv,16,1.3,104.91
chillin watching,16,1.3,104.91
chillin watching a movie,16,1.3,104.91
chillin watching movies,16,1.3,104.91
chillin watching t,16,1.3,104.91
chillin watching tv,16,1.3,104.91
chillin' watching,16,1.3,104.91
chilling eating,35,1.5,121.05
chilling watching,16,1.3,104.91
chilling watching martin,16,1.3,104.91
chilling watching movies,16,1.3,104.91
chilling watching t,16,1.3,104.91
chilling watching tv,16,1.3,104.91
chop all my hair off,34,1.3,104.91
chop my hair off,34,1.3,104.91
chop off all my hair,34,1.3,104.91
chop off my hair,34,1.3,104.91
chop wood,19,4.5,363.15
chopped my hair off,34,1.3,104.91
chopping all my hair off,34,1.3,104.91
chopping my hair off,34,1.3,104.91
chopping wood,19,4.5,363.15
christmas dance,7,7.8,629.46
christmas shop,13,2.3,185.61
christmas shop for,13,2.3,185.61
christmas shop for my,13,2.3,185.61
christmas shoppin,13,2.3,185.61
christmas shopping,13,2.3,185.61
christmas shopping done,13,2.3,185.61
christmas shopping done today,13,2.3,185.61
christmas shopping for,13,2.3,185.61
christmas shopping for my,13,2.3,185.61
christmas shopping for my family,13,2.3,185.61
christmas shopping for the,13,2.3,185.61
christmas shopping for the family,13,2.3,185.61
christmas shopping today,13,2.3,185.61
christmas shopping with,13,2.3,185.61
christmas shopping with me,13,2.3,185.61
christmas shopping with my,13,2.3,185.61
christmas shopping with my dad,13,2.3,185.61
christmas shopping with my mom,13,2.3,185.61
christmas wrapping,15,1.3,104.91
church bound,40,1.8,145.26
church early,40,1.8,145.26
church flow in,40,1.8,145.26
church flow this morning,40,1.8,145.26
church in a,40,1.8,145.26
church in a bit,40,1.8,145.26
church in a couple,40,1.8,145.26
church in a couple hours,40,1.8,145.26
church in a few,40,1.8,145.26
church in a few hours,40,1.8,145.26
church in a lil,40,1.8,145.26
church in a lil bit,40,1.8,145.26
church in a little bit,40,1.8,145.26
church in a min,40,1.8,145.26
church in a minute,40,1.8,145.26
church in about,40,1.8,145.26
church in am,40,1.8,145.26
church in an hour,40,1.8,145.26
church in da a,40,1.8,145.26
church in da am,40,1.8,145.26
church in da mornin,40,1.8,145.26
church in da morning,40,1.8,145.26
church in tha a,40,1.8,145.26
church in the,40,1.8,145.26
church in the a,40,1.8,145.26
church in the am,40,1.8,145.26
church in the morn,40,1.8,145.26
church in the morning,40,1.8,145.26
church on christmas eve,40,1.8,145.26
church on easter sunday,40,1.8,145.26
church on new years,40,1.8,145.26
church on saturday,40,1.8,145.26
church on sunday mornings,40,1.8,145.26
church on time,40,1.8,145.26
church on wednesday,40,1.8,145.26
church service ever,40,1.8,145.26
church service today,40,1.8,145.26
church service tonight,40,1.8,145.26
church service was great,40,1.8,145.26
church soon,40,1.8,145.26
church starts,40,1.8,145.26
church starts at,40,1.8,145.26
church starts in,40,1.8,145.26
church sunday morning,40,1.8,145.26
church then,40,1.8,145.26
church then work,40,1.8,145.26
church time,40,1.8,145.26
church time with,40,1.8,145.26
church today,40,1.8,145.26
church today lol,40,1.8,145.26
church tomorrow,40,1.8,145.26
church tomorrow morning,40,1.8,145.26
church tonight,40,1.8,145.26
church was amazing,40,1.8,145.26
church was amazing today,40,1.8,145.26
church was awesome,40,1.8,145.26
church was awesome today,40,1.8,145.26
church was awesome tonight,40,1.8,145.26
church was cool,40,1.8,145.26
church was fun,40,1.8,145.26
church was good,40,1.8,145.26
church was good this morning,40,1.8,145.26
church was good tho,40,1.8,145.26
church was good today,40,1.8,145.26
church was good tonight,40,1.8,145.26
church was great,40,1.8,145.26
church was great this morning,40,1.8,145.26
church was great today,40,1.8,145.26
church was nice,40,1.8,145.26
church was pretty good,40,1.8,145.26
church was pretty good today,40,1.8,145.26
church was really good,40,1.8,145.26
church was really good today,40,1.8,145.26
church was so good,40,1.8,145.26
church was so good today,40,1.8,145.26
church was wonderful,40,1.8,145.26
church wit,40,1.8,145.26
church wit me,40,1.8,145.26
church with her,40,1.8,145.26
church with him,40,1.8,145.26
church with me tomorrow,40,1.8,145.26
church with me tonight,40,1.8,145.26
church with mom,40,1.8,145.26
church with my,40,1.8,145.26
church with my dad,40,1.8,145.26
church with my family,40,1.8,145.26
church with my mom,40,1.8,145.26
church with my parents,40,1.8,145.26
church with the fam,40,1.8,145.26
church with them,40,1.8,145.26
church with us,40,1.8,145.26
church without,40,1.8,145.26
church yesterday,40,1.8,145.26
churched,40,1.8,145.26
churchhhhhhh,40,1.8,145.26
churchhhhhhhhh,40,1.8,145.26
churchin,40,1.8,145.26
churchin it up,40,1.8,145.26
churchin',40,1.8,145.26
churchin' it up,40,1.8,145.26
churching,40,1.8,145.26
churching it up,40,1.8,145.26
circuit training,4,4.3,347.01
circuit training today,4,4.3,347.01
