activity,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"still watching this",0,1,0,3,1,0,1,0,1,0,0,2,1,0,0,1,2,0,1,0,2,2,1,1,0,0,0,0,1,1,1,1,0,2,0,1,3,0,0,0,3,4,0,0,2,0,0,0,0
"still watching this game",1,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"still watching this movie",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
"still watching tv",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"stomach is eating",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0
"stood in",3,1,1,4,0,0,0,0,2,3,0,3,0,0,2,1,0,0,1,3,2,0,1,0,0,0,1,0,2,0,2,1,0,5,2,0,1,0,1,0,1,2,0,0,1,1,0,1,0
"stood in front",2,0,0,0,0,0,0,1,0,1,0,1,0,0,2,2,0,0,4,2,1,0,0,1,1,2,0,0,1,0,2,1,1,3,1,0,4,0,0,0,1,4,0,0,0,1,2,0,0
"stood in line",0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,4,0,0,3,1,0,1,0,1,0,0,2,0,1,0,1,0,0,2,0,1,0,0,1,0,0,4,0,0,2,0,0,1,0
"stood in line for",1,0,1,6,0,1,0,1,6,4,0,2,1,1,0,3,0,0,1,1,2,0,0,0,0,0,0,0,1,0,4,0,0,3,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0
"stood in the middle",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"stood next to",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"stood outside",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"stood outside for",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stood still",3,0,2,4,0,1,0,0,4,2,0,3,3,1,0,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0
"stood there",1,0,3,3,0,1,1,0,1,1,0,1,0,1,0,1,2,0,3,2,1,0,2,1,0,0,1,0,1,1,2,1,0,1,1,0,5,0,1,0,0,9,1,0,2,1,1,1,0
"stood there and",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0
"stood there and watched",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"stood there for like",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"stop and eat",0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"stop eating all",1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"stop eating fast food",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"stop eating it",0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"stop eating junk food",0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"stop eating out",0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"stop eating so",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stop eating so much",1,0,0,3,0,0,0,1,1,1,0,5,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
"stop eating them",0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0
"stop reading it",0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"stop reading this",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stop watching it",2,2,1,8,2,0,0,0,4,3,0,2,0,0,1,1,0,1,4,1,0,1,0,0,0,1,0,0,1,1,4,1,0,3,1,0,4,0,1,2,2,6,0,0,2,0,0,1,0
"stop watching this",1,0,1,4,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0
"stop watching this show",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"stop watching tv",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"stopped watching after",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"straighten my hair",12,9,5,38,0,22,7,5,36,40,0,15,13,3,3,14,6,4,21,19,19,11,9,9,0,3,7,2,38,2,34,20,1,39,7,2,37,6,12,1,18,47,2,0,23,6,6,5,0
"straighten my hair again",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
